VideoId,keyWords,type,length,heat,rating
818,"5,47,73",6.0,3,99.43,3.4
3712,"19,62,6,9",5.0,1,71.3,3.4
2029,"67,9",5.0,1,86.97,3.4
164,"5,33,73,6",4.0,1,74.67,3.4
3323,45,1.0,1,70.99,3.395
606,"7,33,73,6",6.0,8,75.16,3.395
2390,77,4.0,1,87.57,3.395
2562,"19,11,75",6.0,19,60.6,3.395
840,19,6.0,3,92.84,3.395
1510,"23,30,6",4.0,1,80.44,3.395
2327,"5,64,8,57,30,48",1.0,1,65.35,3.395
1138,"60,61,73",6.0,6,93.37,3.395
3627,"5,8,65,61",4.0,4,66.97,3.395
2578,"5,37,64,6",5.0,1,73.4,3.395
89,"13,59",6.0,13,81.89,3.395
2346,"28,12,30,59",1.0,1,91.82,3.395
3949,"5,6,9",6.0,10,81.12,3.395
516,"19,6",5.0,2,83.39,3.395
2348,"5,37,64,47,75",5.0,1,84.77,3.395
156,"60,73,6,80",4.0,1,83.71,3.395
1084,"19,6,9",6.0,3,93.74,3.395
2527,"5,66,12,30,62,21",6.0,3,127.29,3.39
2395,"23,65,41",6.0,6,74.3,3.39
2198,19,3.0,5,108.0,3.39
1092,"5,15,47,10",1.0,1,104.9,3.39
3874,19,1.0,1,80.61,3.39
86,"5,8,47,33,73",1.0,1,91.06,3.39
1985,"19,47",1.0,1,75.63,3.39
372,"7,8,47",6.0,6,87.07,3.39
161,"19,12,30",5.0,1,82.35,3.39
2534,"7,8",6.0,11,80.07,3.39
1016,"7,11,1,57,6,21",6.0,3,106.31,3.39
3905,"5,37,64,75,10",4.0,3,69.72,3.39
2219,"19,66,73",4.0,1,101.58,3.39
3769,28,6.0,11,74.55,3.39
627,19,4.0,2,64.72,3.39
3530,"5,37,64,47,75",6.0,17,110.39,3.39
1168,"5,37,64,47,75",6.0,5,104.7,3.39
3455,"7,64,47,75",5.0,1,93.75,3.39
2368,"19,62,59",5.0,3,69.54,3.375
2018,"7,64,1,30,59",6.0,11,100.01,3.385
2116,"23,72,41",6.0,3,85.02,3.385
797,"5,8,33,73",6.0,5,87.63,3.385
2281,"7,47,75,73,6",1.0,1,67.96,3.385
3123,"5,33,73,6",1.0,1,75.2,3.385
3014,"19,66,21",4.0,1,125.36,3.385
159,"19,66",5.0,2,99.6,3.385
3805,"7,6",6.0,6,73.33,3.385
2,"5,64,24,6",4.0,1,87.4,3.385
212,"19,66,62",5.0,2,105.65,3.385
2149,"19,30,62,22,41",6.0,4,116.88,3.385
3501,"5,6,9",6.0,6,66.85,3.385
3896,"5,37,33,73",1.0,1,95.69,3.38
1967,"19,22",3.0,5,105.63,3.38
471,"5,37,64,47,57,6,10",4.0,1,97.68,3.38
19,19,5.0,2,104.55,3.38
1804,"45,30,59,9",6.0,4,80.89,3.38
813,"28,1,59",6.0,11,88.53,3.38
1587,"52,22,21,46",5.0,1,89.79,3.38
775,"5,64,47,21",5.0,1,101.29,3.38
1574,"3,47,70",5.0,2,116.26,3.38
3674,"5,73,10",6.0,6,114.25,3.38
298,"19,62,6",3.0,4,80.84,3.38
3975,"23,24,10,21",4.0,3,77.07,3.38
2552,"19,65,51,48,22",4.0,1,84.6,3.38
3779,"23,47,1,30,21",6.0,3,101.67,3.38
604,26,5.0,1,86.43,3.38
1882,"23,30,59,41",5.0,1,91.17,3.38
1865,"5,8,47,30",1.0,1,79.78,3.38
3237,"7,64,47,70,73,6",6.0,3,114.02,3.375
2577,"7,65,59,41",1.0,1,75.55,3.375
2510,"19,75,73,6",5.0,1,65.69,3.375
2488,"5,37,64,47,57,6,10",5.0,1,110.12,3.375
713,"19,62,6",3.0,1,77.57,3.375
1060,"19,41",6.0,21,60.42,3.375
654,"7,73",6.0,6,76.91,3.375
2711,"19,47,62",4.0,1,94.96,3.375
3763,19,6.0,23,75.3,3.375
859,"19,75,41",6.0,11,62.4,3.375
1896,"7,47,75",1.0,1,96.86,3.375
1784,"28,75",1.0,1,89.44,3.375
56,52,6.0,3,117.56,3.375
3269,"19,66,47,62",6.0,3,119.85,3.375
2059,"5,37,73,80",5.0,1,72.05,3.375
2770,"7,8,65,24,21",4.0,1,66.93,3.37
3563,"67,6,9",6.0,11,78.22,3.37
1582,"19,41",6.0,21,63.27,3.37
2719,"19,66,12,30,62,6,41,21",6.0,3,123.91,3.37
2828,"19,30",6.0,6,91.78,3.37
2541,45,5.0,1,79.22,3.365
